longitude,latitude,altitude,time,tau_cirrus,tau_contrail,rf_sw,rf_lw,width,depth,segment_length,n_ice_per_m,r_ice_vol,location,RHi_era5,flight_level,month,seasonal_factor,RHi_pred,hour,rf_total
13.354,46.486,38839.0,2024-11-10 17:20:00,0.0,1.1862,0.0,34.76,80.0,99.0,0.0,5884000000000.0,1.541e-06,Venice_Italy,1.1375110232766872,388.39,11,1,1.10404966896598,17,34.76
13.289,46.519,38816.0,2024-11-10 17:30:00,0.0,0.0527,0.0,1.345,524.0,127.0,3849.0,4712000000000.0,1.141e-06,Venice_Italy,1.0949134205690023,388.16,11,1,1.1074651064905603,17,1.345
13.335,46.534,38822.0,2024-11-10 17:30:00,0.0,0.1274,0.0,3.776,416.0,119.0,3832.0,4543000000000.0,1.37e-06,Venice_Italy,1.0389792585204825,388.22,11,1,1.1104734840304682,17,3.776
13.38,46.548,38832.0,2024-11-10 17:30:00,0.0,0.2801,0.0,8.79,264.0,111.0,3802.0,4868000000000.0,1.497e-06,Venice_Italy,1.2234778318833661,388.32,11,1,1.101070477255157,17,8.79
13.425,46.563,38839.0,2024-11-10 17:30:00,0.0,0.8455,0.0,25.158,108.0,101.0,0.0,5818000000000.0,1.521e-06,Venice_Italy,1.0539082341093808,388.39,11,1,1.10404966896598,17,25.158
13.364,46.595,38819.0,2024-11-10 17:40:00,0.0,0.052,0.0,1.279,507.0,129.0,3793.0,4884000000000.0,1.109e-06,Venice_Italy,1.1201305923295048,388.19,11,1,1.1090480839606562,17,1.279
13.409,46.61,38825.0,2024-11-10 17:40:00,0.0,0.108,0.0,3.114,450.0,121.0,3786.0,4545000000000.0,1.339e-06,Venice_Italy,1.0841726005452605,388.25,11,1,1.1069327931926294,17,3.114
13.453,46.625,38832.0,2024-11-10 17:40:00,0.0,0.236,0.0,7.276,301.0,112.0,3757.0,4864000000000.0,1.473e-06,Venice_Italy,1.1481978519190608,388.32,11,1,1.101070477255157,17,7.276
13.497,46.64,38839.0,2024-11-10 17:40:00,0.0,0.6672,0.0,19.916,132.0,103.0,0.0,5750000000000.0,1.504e-06,Venice_Italy,1.1848589439106283,388.39,11,1,1.10404966896598,17,19.916
13.439,46.671,38822.0,2024-11-10 17:50:00,0.0,0.0479,0.0,1.107,508.0,130.0,3744.0,5089000000000.0,1.042e-06,Venice_Italy,1.0968710683551288,388.22,11,1,1.1104734840304682,17,1.107
13.483,46.686,38829.0,2024-11-10 17:50:00,0.0,0.0906,0.0,2.543,488.0,123.0,3744.0,4539000000000.0,1.306e-06,Venice_Italy,1.1002588351847227,388.29,11,1,1.1164320195738744,17,2.543
13.527,46.702,38835.0,2024-11-10 17:50:00,0.0,0.2046,0.0,6.208,334.0,114.0,3714.0,4865000000000.0,1.451e-06,Venice_Italy,1.1602103605507759,388.35,11,1,1.0982989588085228,17,6.208
13.57,46.717,38839.0,2024-11-10 17:50:00,0.0,0.5634,0.0,16.77,152.0,105.0,0.0,5687000000000.0,1.49e-06,Venice_Italy,1.0920659633538017,388.39,11,1,1.10404966896598,17,16.77
