station_id,latitude,longitude,elevation,name,lstyear
IDM00096075,1.2667,97.6,6.0,GUNUNG SITOLI/BINAKA,2025
IDM00096091,0.9167,104.5333,18.0,TANJUNG PINANG/KIJANG,2025
IDM00096109,0.4667,101.45,31.0,PEKAN BARU/SIMPANGTIGA,2025
IDM00096145,3.2,106.25,3.0,TAREMPA,2025
IDM00096147,3.95,108.3833,2.0,RANAI,2025
IDM00096163,-0.7883,100.2808,3.0,MIA PADANG,2025
IDM00096171,-0.3333,102.3167,46.0,RENGAT/JAPURA,2025
IDM00096179,-0.4833,104.5833,31.0,SINGKEP/DABO,2025
IDM00096195,-1.6333,103.65,25.0,JAMBI/SULTAN TAHA,2025
IDM00096207,-2.0939,101.4698,782.0,KERINCI/DEPATI PARBO,2024
IDM00096221,-2.9,104.7,10.0,PALEMBANG/ST. M. BADARUDIN II,2025
IDM00096237,-2.1667,106.1333,33.0,PANGKAL PINANG,2025
IDM00096249,-2.75,107.75,44.0,TANJUNG PANDAN/BULUH TUMBANG,2025
IDM00096253,-3.8833,102.3333,16.0,BENGKULU/PADANG KEMILING,2025
IDM00096295,-5.1,105.1833,96.0,TANJUNG KARANG/RADIN INTEN II,2024
IDM00096509,3.3333,117.5667,6.0,TARAKAN/JUWATA,2025
IDM00096529,2.1167,117.45,26.0,TANJUNG REDEP/KALIMARAU,2024
IDM00096535,1.7667,109.3,15.0,PALOH,2025
IDM00096565,0.8833,112.9333,53.0,PUTUSSIBAU/PAGSUMA,2025
IDM00096581,-0.15,109.4,3.0,PONTIANAK/SUPADIO,2025
IDM00096595,-0.95,114.9,60.0,MUARA TEWEH/BERINGIN,2024
IDM00096607,-0.4844,117.1569,3.0,SAMARINDA/TEMINDUNG,2024
IDM00096633,-1.2667,116.9,3.0,BALIKPAPAN/SEPINGGAN,2025
IDM00096645,-2.7,111.7,25.0,PANGKALAN BUN/ISKANDAR,2025
IDM00096655,-2.225,113.9428,27.0,PALANGKA RAYA/TJILIK RIWUT,2025
IDM00096685,-3.4333,114.75,20.0,BANJARMASIN/SYAMSUDIN NOOR,2025
IDM00096737,-6.1167,106.1333,40.0,SERANG,2025
IDM00096739,-6.2333,106.65,46.0,CURUG/BUDIARTO,2025
IDM00096749,-6.1167,106.65,8.0,JAKARTA/SOEKARNO-HATTA,2025
IDM00096791,-6.75,108.2667,50.0,CIREBON/JATIWANGI,2025
IDM00096797,-6.85,109.15,10.0,TEGAL,2025
IDM00096805,-7.7333,109.0167,6.0,CILACAP,2025
IDM00096839,-6.9833,110.3833,3.0,SEMARANG/AHMAD YANI,2025
IDM00096925,-5.85,112.6333,3.0,SANGKAPURA (BAWEAN IS.),2025
IDM00096935,-7.3772,112.7939,3.0,JUANDA SURABAYA,2025
IDM00096973,-7.05,113.9667,3.0,KALIANGET (MADURA IS),2025
IDM00096987,-8.2167,114.3833,5.0,BANYUWANGI,2025
IDM00097008,3.5833,125.4667,38.0,NAHA/TAHUNA,2024
IDM00097014,1.5333,124.9167,80.0,MENADO/ SAM RATULANGI,2025
IDM00097028,1.0167,120.8,2.0,TOLI-TOLI/LALOS,2025
IDM00097048,0.5167,123.0667,2.0,GORONTALO/JALALUDDIN,2025
IDM00097072,-0.6833,119.7333,6.0,PALU/MUTIARA,2025
IDM00097086,-1.0405,122.7709,17.0,LUWUK/BUBUNG,2025
IDM00097096,-1.3833,120.7333,2.0,POSO/KASIGUNCU,2025
IDM00097120,-3.5,119.0,8.0,MAJENE,2025
IDM00097180,-5.0667,119.55,14.0,UJUNG PANDANG/HASANUDDIN,2025
IDM00097192,-5.4667,122.6167,2.0,BAU-BAU/BETO AMBARI,2025
IDM00097230,-8.75,115.1667,1.0,DENPASAR/NGURAH RAI,2025
IDM00097240,-8.55,116.0833,3.0,PRAYA LOMBOK,2025
IDM00097260,-8.4333,117.4167,3.0,SUMBAWA BESAR/BRANGBIJI,2025
IDM00097270,-8.55,118.7,2.0,BIMA/M.SALAHUDDIN,2025
IDM00097300,-8.6333,122.25,3.0,MAUMERE/WAI OTI,2025
IDM00097340,-9.6667,120.3333,12.0,WAINGAPU/MAU HAU,2025
IDM00097372,-10.1667,123.6667,108.0,KUPANG/ELTARI,2025
IDM00097430,0.7667,127.3667,23.0,TERNATE/BABULLAH,2025
IDM00097460,-0.6333,127.5,3.0,LABUHA/OESMAN SADIK,2025
IDM00097502,-0.8939,131.2858,3.0,DEO SORONG,2025
IDM00097530,-0.8833,134.05,3.0,MANOKWARI/RENDANI,2024
IDM00097560,-1.1833,136.1167,11.0,BIAK/FRANS KAISIEPO,2025
IDM00097600,-2.0833,126.0,2.0,SANANA,2025
